2019-12-19 23:55:46 INFO  RestAPITestinForEmployeeDB:75 - Content-Type is :--->> text/html; charset=UTF-8
2019-12-19 23:55:46 INFO  RestAPITestinForEmployeeDB:45 - --------- validating response body -------------
2019-12-19 23:55:46 INFO  RestAPITestinForEmployeeDB:92 - --------- validating server type --------
2019-12-19 23:55:46 INFO  RestAPITestinForEmployeeDB:83 - --------- validating Status line and status code ---------------
2019-12-19 23:55:46 INFO  RestAPITestinForEmployeeDB:56 - --------- validating response body -------------
2019-12-19 23:55:47 INFO  RestAPITestinForEmployeeDB:100 - #####------------- TC005_DeleteEmployeeRecord ends ----------######
2019-12-19 23:57:05 INFO  RestAPITestinForEmployeeDB:25 - #####------------- TC005_DeleteEmployeeRecord starts ----------######
2019-12-19 23:57:06 INFO  RestAPITestinForEmployeeDB:35 - ------------ deleting employee record ----------------
2019-12-19 23:57:13 INFO  RestAPITestinForEmployeeDB:39 - Response body is :----> 
{"success":{"text":"successfully! deleted Records"}}
2019-12-19 23:57:13 INFO  RestAPITestinForEmployeeDB:56 - --------- validating content type ---------------
2019-12-19 23:57:13 INFO  RestAPITestinForEmployeeDB:59 - Content-Type is :--->> text/html; charset=UTF-8
2019-12-19 23:57:13 INFO  RestAPITestinForEmployeeDB:45 - --------- validating response body -------------
2019-12-19 23:57:14 INFO  RestAPITestinForEmployeeDB:76 - --------- validating server type --------
2019-12-19 23:57:14 INFO  RestAPITestinForEmployeeDB:67 - --------- validating Status line and status code ---------------
2019-12-19 23:57:14 INFO  RestAPITestinForEmployeeDB:84 - --------- validating response body -------------
2019-12-19 23:57:15 INFO  RestAPITestinForEmployeeDB:94 - #####------------- TC005_DeleteEmployeeRecord ends ----------######
2019-12-19 23:59:11 INFO  RestAPITestinForEmployeeDB:25 - #####------------- TC005_DeleteEmployeeRecord starts ----------######
2019-12-19 23:59:12 INFO  RestAPITestinForEmployeeDB:35 - ------------ deleting employee record ----------------
2019-12-19 23:59:25 INFO  RestAPITestinForEmployeeDB:39 - Response body is :----> 
{"success":{"text":"successfully! deleted Records"}}
2019-12-19 23:59:25 INFO  RestAPITestinForEmployeeDB:56 - --------- validating content type ---------------
2019-12-19 23:59:25 INFO  RestAPITestinForEmployeeDB:59 - Content-Type is :--->> text/html; charset=UTF-8
2019-12-19 23:59:25 INFO  RestAPITestinForEmployeeDB:45 - --------- validating response body -------------
2019-12-19 23:59:25 INFO  RestAPITestinForEmployeeDB:48 - Delete the employee record successfully
2019-12-19 23:59:25 INFO  RestAPITestinForEmployeeDB:76 - --------- validating server type --------
2019-12-19 23:59:25 INFO  RestAPITestinForEmployeeDB:67 - --------- validating Status line and status code ---------------
2019-12-19 23:59:25 INFO  RestAPITestinForEmployeeDB:84 - --------- validating response body -------------
2019-12-19 23:59:26 INFO  RestAPITestinForEmployeeDB:94 - #####------------- TC005_DeleteEmployeeRecord ends ----------######
2019-12-20 00:01:15 INFO  RestAPITestinForEmployeeDB:25 - #####------------- TC005_DeleteEmployeeRecord starts ----------######
2019-12-20 00:01:15 INFO  RestAPITestinForEmployeeDB:35 - ------------ deleting employee record ----------------
2019-12-20 00:01:24 INFO  RestAPITestinForEmployeeDB:39 - Response body is :----> 
{"success":{"text":"successfully! deleted Records"}}
2019-12-20 00:01:24 INFO  RestAPITestinForEmployeeDB:56 - --------- validating content type ---------------
2019-12-20 00:01:24 INFO  RestAPITestinForEmployeeDB:59 - Content-Type is :--->> text/html; charset=UTF-8
